Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-01-07,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,373.1,ug/m3,manual
2016-01-13,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,325.23,ug/m3,manual
2016-01-20,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,397.15,ug/m3,manual
2016-02-06,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,515.64,ug/m3,manual
2016-02-25,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,595.62,ug/m3,manual
2016-03-03,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,595.86,ug/m3,manual
2016-03-25,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,149.05,ug/m3,manual
2016-03-31,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,548.68,ug/m3,manual
2016-04-06,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,613.91,ug/m3,manual
2016-04-12,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,584.12,ug/m3,manual
2016-04-18,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,485.64,ug/m3,manual
2016-04-23,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,503.42,ug/m3,manual
2016-04-30,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,487.04,ug/m3,manual
2016-05-18,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,434.6,ug/m3,manual
2016-05-22,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,117.18,ug/m3,manual
2016-05-26,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,233.59,ug/m3,manual
2016-06-01,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,543.99,ug/m3,manual
2016-06-18,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,476.18,ug/m3,manual
2016-06-18,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,805.4,ug/m3,manual
2016-06-30,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,706.92,ug/m3,manual
2016-07-06,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,646.68,ug/m3,manual
2016-07-14,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,779.73,ug/m3,manual
2016-07-20,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,626.5,ug/m3,manual
2016-07-26,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,740.05,ug/m3,manual
2016-08-01,01:00,CIPLAN (antiga estação Queima Lençol),DF02,PTS,615.74,ug/m3,manual
