Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2015-01-06,01:00,Rodoviária do Plano Piloto,DF03,PTS,128.7,ug/m3,manual
2015-01-08,01:00,Rodoviária do Plano Piloto,DF03,PTS,56.67,ug/m3,manual
2015-01-10,01:00,Rodoviária do Plano Piloto,DF03,PTS,128.33,ug/m3,manual
2015-01-13,01:00,Rodoviária do Plano Piloto,DF03,PTS,108.55,ug/m3,manual
2015-01-15,01:00,Rodoviária do Plano Piloto,DF03,PTS,123.06,ug/m3,manual
2015-01-18,01:00,Rodoviária do Plano Piloto,DF03,PTS,90.11,ug/m3,manual
2015-01-21,01:00,Rodoviária do Plano Piloto,DF03,PTS,139.87,ug/m3,manual
2015-01-24,01:00,Rodoviária do Plano Piloto,DF03,PTS,71.98,ug/m3,manual
2015-01-27,01:00,Rodoviária do Plano Piloto,DF03,PTS,113.71,ug/m3,manual
2015-01-30,01:00,Rodoviária do Plano Piloto,DF03,PTS,185.79,ug/m3,manual
2015-02-03,01:00,Rodoviária do Plano Piloto,DF03,PTS,71.01,ug/m3,manual
2015-02-05,01:00,Rodoviária do Plano Piloto,DF03,PTS,101.25,ug/m3,manual
2015-02-09,01:00,Rodoviária do Plano Piloto,DF03,PTS,119,ug/m3,manual
2015-02-11,01:00,Rodoviária do Plano Piloto,DF03,PTS,75.14,ug/m3,manual
2015-02-15,01:00,Rodoviária do Plano Piloto,DF03,PTS,60.5,ug/m3,manual
2015-02-21,01:00,Rodoviária do Plano Piloto,DF03,PTS,81.54,ug/m3,manual
2015-02-27,01:00,Rodoviária do Plano Piloto,DF03,PTS,77.28,ug/m3,manual
2015-03-03,01:00,Rodoviária do Plano Piloto,DF03,PTS,88.4,ug/m3,manual
2015-03-08,01:00,Rodoviária do Plano Piloto,DF03,PTS,62.98,ug/m3,manual
2015-03-11,01:00,Rodoviária do Plano Piloto,DF03,PTS,159.59,ug/m3,manual
2015-03-17,01:00,Rodoviária do Plano Piloto,DF03,PTS,130.38,ug/m3,manual
2015-04-06,01:00,Rodoviária do Plano Piloto,DF03,PTS,111.74,ug/m3,manual
2015-04-09,01:00,Rodoviária do Plano Piloto,DF03,PTS,118.94,ug/m3,manual
2015-04-12,01:00,Rodoviária do Plano Piloto,DF03,PTS,35.13,ug/m3,manual
2015-04-14,01:00,Rodoviária do Plano Piloto,DF03,PTS,93.16,ug/m3,manual
2015-04-18,01:00,Rodoviária do Plano Piloto,DF03,PTS,82.73,ug/m3,manual
2015-04-24,01:00,Rodoviária do Plano Piloto,DF03,PTS,123.8,ug/m3,manual
2015-04-29,01:00,Rodoviária do Plano Piloto,DF03,PTS,102.92,ug/m3,manual
2015-05-01,01:00,Rodoviária do Plano Piloto,DF03,PTS,65.2,ug/m3,manual
2015-05-05,01:00,Rodoviária do Plano Piloto,DF03,PTS,114.13,ug/m3,manual
2015-05-07,01:00,Rodoviária do Plano Piloto,DF03,PTS,110.6,ug/m3,manual
2015-05-16,01:00,Rodoviária do Plano Piloto,DF03,PTS,69.9,ug/m3,manual
2015-05-20,01:00,Rodoviária do Plano Piloto,DF03,PTS,101.55,ug/m3,manual
2015-05-23,01:00,Rodoviária do Plano Piloto,DF03,PTS,65.35,ug/m3,manual
2015-05-26,01:00,Rodoviária do Plano Piloto,DF03,PTS,123.47,ug/m3,manual
2015-05-31,01:00,Rodoviária do Plano Piloto,DF03,PTS,68.9,ug/m3,manual
2015-06-02,01:00,Rodoviária do Plano Piloto,DF03,PTS,118.49,ug/m3,manual
2015-06-06,01:00,Rodoviária do Plano Piloto,DF03,PTS,69.08,ug/m3,manual
2015-06-10,01:00,Rodoviária do Plano Piloto,DF03,PTS,114.61,ug/m3,manual
2015-06-13,01:00,Rodoviária do Plano Piloto,DF03,PTS,82.84,ug/m3,manual
2015-06-16,01:00,Rodoviária do Plano Piloto,DF03,PTS,135.79,ug/m3,manual
2015-06-21,01:00,Rodoviária do Plano Piloto,DF03,PTS,60.1,ug/m3,manual
2015-06-24,01:00,Rodoviária do Plano Piloto,DF03,PTS,119.28,ug/m3,manual
2015-06-29,01:00,Rodoviária do Plano Piloto,DF03,PTS,105.75,ug/m3,manual
2015-07-05,01:00,Rodoviária do Plano Piloto,DF03,PTS,76.86,ug/m3,manual
2015-07-07,01:00,Rodoviária do Plano Piloto,DF03,PTS,121.16,ug/m3,manual
2015-07-11,01:00,Rodoviária do Plano Piloto,DF03,PTS,80.31,ug/m3,manual
2015-07-31,01:00,Rodoviária do Plano Piloto,DF03,PTS,67.84,ug/m3,manual
2015-08-04,01:00,Rodoviária do Plano Piloto,DF03,PTS,134.47,ug/m3,manual
2015-08-10,01:00,Rodoviária do Plano Piloto,DF03,PTS,147.35,ug/m3,manual
2015-08-13,01:00,Rodoviária do Plano Piloto,DF03,PTS,129.88,ug/m3,manual
2015-08-19,01:00,Rodoviária do Plano Piloto,DF03,PTS,68.62,ug/m3,manual
2015-09-12,01:00,Rodoviária do Plano Piloto,DF03,PTS,134.21,ug/m3,manual
2015-09-20,01:00,Rodoviária do Plano Piloto,DF03,PTS,108.47,ug/m3,manual
2015-09-28,01:00,Rodoviária do Plano Piloto,DF03,PTS,134.55,ug/m3,manual
2015-10-06,01:00,Rodoviária do Plano Piloto,DF03,PTS,197.17,ug/m3,manual
2015-10-14,01:00,Rodoviária do Plano Piloto,DF03,PTS,171.55,ug/m3,manual
2015-10-22,01:00,Rodoviária do Plano Piloto,DF03,PTS,256.05,ug/m3,manual
2015-10-30,01:00,Rodoviária do Plano Piloto,DF03,PTS,152.44,ug/m3,manual
2015-11-07,01:00,Rodoviária do Plano Piloto,DF03,PTS,106.1,ug/m3,manual
2015-11-13,01:00,Rodoviária do Plano Piloto,DF03,PTS,84.02,ug/m3,manual
2015-11-20,01:00,Rodoviária do Plano Piloto,DF03,PTS,111.52,ug/m3,manual
2015-11-26,01:00,Rodoviária do Plano Piloto,DF03,PTS,100.23,ug/m3,manual
2015-12-05,01:00,Rodoviária do Plano Piloto,DF03,PTS,92.21,ug/m3,manual
2015-12-11,01:00,Rodoviária do Plano Piloto,DF03,PTS,195.73,ug/m3,manual
2015-12-19,01:00,Rodoviária do Plano Piloto,DF03,PTS,77.18,ug/m3,manual
2015-12-31,01:00,Rodoviária do Plano Piloto,DF03,PTS,84.71,ug/m3,manual
2015-01-06,01:00,Setor Comercial Sul,DF05,PTS,55.98,ug/m3,manual
2015-01-08,01:00,Setor Comercial Sul,DF05,PTS,48.54,ug/m3,manual
2015-01-10,01:00,Setor Comercial Sul,DF05,PTS,60.52,ug/m3,manual
2015-01-13,01:00,Setor Comercial Sul,DF05,PTS,43.93,ug/m3,manual
2015-01-15,01:00,Setor Comercial Sul,DF05,PTS,49.92,ug/m3,manual
2015-01-18,01:00,Setor Comercial Sul,DF05,PTS,53.92,ug/m3,manual
2015-01-21,01:00,Setor Comercial Sul,DF05,PTS,84.44,ug/m3,manual
2015-01-24,01:00,Setor Comercial Sul,DF05,PTS,25.54,ug/m3,manual
2015-01-27,01:00,Setor Comercial Sul,DF05,PTS,47.03,ug/m3,manual
2015-01-30,01:00,Setor Comercial Sul,DF05,PTS,51.84,ug/m3,manual
2015-02-05,01:00,Setor Comercial Sul,DF05,PTS,53.41,ug/m3,manual
2015-02-11,01:00,Setor Comercial Sul,DF05,PTS,49.36,ug/m3,manual
2015-02-21,01:00,Setor Comercial Sul,DF05,PTS,33.67,ug/m3,manual
2015-02-27,01:00,Setor Comercial Sul,DF05,PTS,39.97,ug/m3,manual
2015-03-03,01:00,Setor Comercial Sul,DF05,PTS,35.78,ug/m3,manual
2015-03-08,01:00,Setor Comercial Sul,DF05,PTS,34.26,ug/m3,manual
2015-03-11,01:00,Setor Comercial Sul,DF05,PTS,64.16,ug/m3,manual
2015-03-17,01:00,Setor Comercial Sul,DF05,PTS,47.48,ug/m3,manual
2015-03-24,01:00,Setor Comercial Sul,DF05,PTS,57.85,ug/m3,manual
2015-03-27,01:00,Setor Comercial Sul,DF05,PTS,94.41,ug/m3,manual
2015-03-31,01:00,Setor Comercial Sul,DF05,PTS,74.8,ug/m3,manual
2015-04-06,01:00,Setor Comercial Sul,DF05,PTS,36.46,ug/m3,manual
2015-04-09,01:00,Setor Comercial Sul,DF05,PTS,49.02,ug/m3,manual
2015-04-12,01:00,Setor Comercial Sul,DF05,PTS,28.95,ug/m3,manual
2015-04-14,01:00,Setor Comercial Sul,DF05,PTS,44.96,ug/m3,manual
2015-04-18,01:00,Setor Comercial Sul,DF05,PTS,41.65,ug/m3,manual
2015-04-24,01:00,Setor Comercial Sul,DF05,PTS,60.98,ug/m3,manual
2015-04-29,01:00,Setor Comercial Sul,DF05,PTS,46.33,ug/m3,manual
2015-05-01,01:00,Setor Comercial Sul,DF05,PTS,38.79,ug/m3,manual
2015-05-05,01:00,Setor Comercial Sul,DF05,PTS,59.29,ug/m3,manual
2015-05-07,01:00,Setor Comercial Sul,DF05,PTS,60.5,ug/m3,manual
2015-05-11,01:00,Setor Comercial Sul,DF05,PTS,49.93,ug/m3,manual
2015-05-15,01:00,Setor Comercial Sul,DF05,PTS,55.39,ug/m3,manual
2015-05-20,01:00,Setor Comercial Sul,DF05,PTS,68.07,ug/m3,manual
2015-05-23,01:00,Setor Comercial Sul,DF05,PTS,46.61,ug/m3,manual
2015-05-26,01:00,Setor Comercial Sul,DF05,PTS,84.97,ug/m3,manual
2015-05-31,01:00,Setor Comercial Sul,DF05,PTS,61.68,ug/m3,manual
2015-06-02,01:00,Setor Comercial Sul,DF05,PTS,76.54,ug/m3,manual
2015-06-06,01:00,Setor Comercial Sul,DF05,PTS,18.1,ug/m3,manual
2015-06-10,01:00,Setor Comercial Sul,DF05,PTS,79.84,ug/m3,manual
2015-06-13,01:00,Setor Comercial Sul,DF05,PTS,58.9,ug/m3,manual
2015-06-16,01:00,Setor Comercial Sul,DF05,PTS,100.35,ug/m3,manual
2015-06-21,01:00,Setor Comercial Sul,DF05,PTS,51.22,ug/m3,manual
2015-06-24,01:00,Setor Comercial Sul,DF05,PTS,80.39,ug/m3,manual
2015-06-29,01:00,Setor Comercial Sul,DF05,PTS,80.83,ug/m3,manual
2015-07-05,01:00,Setor Comercial Sul,DF05,PTS,65.99,ug/m3,manual
2015-07-07,01:00,Setor Comercial Sul,DF05,PTS,86.14,ug/m3,manual
2015-07-11,01:00,Setor Comercial Sul,DF05,PTS,65.62,ug/m3,manual
2015-08-04,01:00,Setor Comercial Sul,DF05,PTS,62.3,ug/m3,manual
2015-08-10,01:00,Setor Comercial Sul,DF05,PTS,118.04,ug/m3,manual
2015-08-13,01:00,Setor Comercial Sul,DF05,PTS,47.42,ug/m3,manual
2015-08-22,01:00,Setor Comercial Sul,DF05,PTS,103.73,ug/m3,manual
2015-09-10,01:00,Setor Comercial Sul,DF05,PTS,84.85,ug/m3,manual
2015-09-12,01:00,Setor Comercial Sul,DF05,PTS,78.69,ug/m3,manual
2015-09-20,01:00,Setor Comercial Sul,DF05,PTS,67.34,ug/m3,manual
2015-09-28,01:00,Setor Comercial Sul,DF05,PTS,103.26,ug/m3,manual
2015-10-06,01:00,Setor Comercial Sul,DF05,PTS,130.77,ug/m3,manual
2015-10-14,01:00,Setor Comercial Sul,DF05,PTS,90.6,ug/m3,manual
2015-10-22,01:00,Setor Comercial Sul,DF05,PTS,182.5,ug/m3,manual
2015-10-30,01:00,Setor Comercial Sul,DF05,PTS,83.19,ug/m3,manual
2015-11-07,01:00,Setor Comercial Sul,DF05,PTS,94.36,ug/m3,manual
2015-11-20,01:00,Setor Comercial Sul,DF05,PTS,50.97,ug/m3,manual
2015-11-26,01:00,Setor Comercial Sul,DF05,PTS,48.87,ug/m3,manual
2015-12-05,01:00,Setor Comercial Sul,DF05,PTS,39.58,ug/m3,manual
2015-12-11,01:00,Setor Comercial Sul,DF05,PTS,58.81,ug/m3,manual
2015-12-19,01:00,Setor Comercial Sul,DF05,PTS,37.47,ug/m3,manual
2015-12-23,01:00,Setor Comercial Sul,DF05,PTS,63.33,ug/m3,manual
2015-12-31,01:00,Setor Comercial Sul,DF05,PTS,32.44,ug/m3,manual
2015-01-06,01:00,Fercal I,DF01,PTS,186.58,ug/m3,manual
2015-01-08,01:00,Fercal I,DF01,PTS,191.66,ug/m3,manual
2015-01-10,01:00,Fercal I,DF01,PTS,213.78,ug/m3,manual
2015-01-13,01:00,Fercal I,DF01,PTS,240.18,ug/m3,manual
2015-01-18,01:00,Fercal I,DF01,PTS,180.45,ug/m3,manual
2015-01-21,01:00,Fercal I,DF01,PTS,269.75,ug/m3,manual
2015-01-24,01:00,Fercal I,DF01,PTS,82.17,ug/m3,manual
2015-01-27,01:00,Fercal I,DF01,PTS,221.28,ug/m3,manual
2015-02-03,01:00,Fercal I,DF01,PTS,286.38,ug/m3,manual
2015-02-11,01:00,Fercal I,DF01,PTS,297.28,ug/m3,manual
2015-02-27,01:00,Fercal I,DF01,PTS,241.68,ug/m3,manual
2015-03-03,01:00,Fercal I,DF01,PTS,166.42,ug/m3,manual
2015-03-08,01:00,Fercal I,DF01,PTS,125.16,ug/m3,manual
2015-03-11,01:00,Fercal I,DF01,PTS,858.01,ug/m3,manual
2015-03-17,01:00,Fercal I,DF01,PTS,239.46,ug/m3,manual
2015-03-24,01:00,Fercal I,DF01,PTS,238.76,ug/m3,manual
2015-03-27,01:00,Fercal I,DF01,PTS,278.91,ug/m3,manual
2015-03-31,01:00,Fercal I,DF01,PTS,191.57,ug/m3,manual
2015-04-06,01:00,Fercal I,DF01,PTS,165.07,ug/m3,manual
2015-04-09,01:00,Fercal I,DF01,PTS,158.98,ug/m3,manual
2015-04-12,01:00,Fercal I,DF01,PTS,111.6,ug/m3,manual
2015-04-14,01:00,Fercal I,DF01,PTS,196.94,ug/m3,manual
2015-04-18,01:00,Fercal I,DF01,PTS,190.28,ug/m3,manual
2015-04-24,01:00,Fercal I,DF01,PTS,198.2,ug/m3,manual
2015-04-29,01:00,Fercal I,DF01,PTS,126.29,ug/m3,manual
2015-05-01,01:00,Fercal I,DF01,PTS,113.63,ug/m3,manual
2015-05-05,01:00,Fercal I,DF01,PTS,204.78,ug/m3,manual
2015-05-07,01:00,Fercal I,DF01,PTS,298.21,ug/m3,manual
2015-05-11,01:00,Fercal I,DF01,PTS,79.73,ug/m3,manual
2015-05-15,01:00,Fercal I,DF01,PTS,132.48,ug/m3,manual
2015-05-20,01:00,Fercal I,DF01,PTS,293.3,ug/m3,manual
2015-05-23,01:00,Fercal I,DF01,PTS,165.81,ug/m3,manual
2015-05-26,01:00,Fercal I,DF01,PTS,272.5,ug/m3,manual
2015-05-31,01:00,Fercal I,DF01,PTS,110.31,ug/m3,manual
2015-06-02,01:00,Fercal I,DF01,PTS,223.02,ug/m3,manual
2015-06-06,01:00,Fercal I,DF01,PTS,228.98,ug/m3,manual
2015-06-10,01:00,Fercal I,DF01,PTS,284.39,ug/m3,manual
2015-06-16,01:00,Fercal I,DF01,PTS,279.7,ug/m3,manual
